OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2385,2001-058B,2026-08-21T15:19:23.591136,12.60566387,.00075157,82.5398,177.9992,84.6120,89.9989,0,U,27056,999,13402,.37581898E-3,.76E-6,0
COSMOS 2386,2001-058C,2026-08-21T06:39:32.897376,12.61617099,.00010658,82.5474,172.5083,65.7048,294.4154,0,U,27057,999,13471,.58639615E-4,.21E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-08-21T03:06:34.885152,1.00270848,.00988329,11.2573,21.4972,9.9673,3.5798,0,U,27168,999,3361,0,.94E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-08-21T09:42:41.189760,1.00272623,.00035334,7.0778,68.3787,60.9959,314.5368,0,U,27380,999,5242,0,-.23E-5,0
AQUA,2002-022A,2026-08-21T13:23:38.677056,14.62172467,.00018049,98.4345,204.1688,86.6015,49.4464,0,U,27424,999,29282,.13131829E-3,.611E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-08-21T09:38:38.722848,1.00273297,.00033334,5.0389,74.4734,85.0446,204.7770,0,U,27426,999,8877,0,-.62E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-08-21T11:58:38.752032,1.00272913,.00029873,6.9122,68.9896,89.0201,214.2737,0,U,27438,999,5201,0,.89E-6,0
GALAXY 3C (G-3C),2002-030A,2026-08-21T13:48:31.957632,1.00272114,.00018495,3.9004,77.1374,33.6656,331.3627,0,U,27445,999,4715,0,-.157E-5,0
COSMOS 2390,2002-036A,2026-08-21T15:15:36.231264,12.44624943,.0026638,82.4856,304.0356,114.6576,245.7283,0,U,27464,999,9581,.48839006E-4,.17E-6,0
COSMOS 2391,2002-036B,2026-08-21T15:15:12.217248,12.44947597,.00275217,82.4846,300.5414,108.7980,251.6089,0,U,27465,999,9599,.98934771E-4,.24E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-08-21T03:19:26.152896,1.00272482,.00025995,5.9620,72.0965,76.4579,294.9306,0,U,27513,999,8768,0,.8E-7,0
LATINSAT B,2002-058B,2026-08-21T11:50:08.757024,14.77091732,.00864062,64.5538,50.5368,257.1818,101.9620,0,U,27606,999,27174,.76862403E-4,.426E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-08-21T03:46:35.772672,14.83168441,.00732556,64.5517,287.9506,250.5523,108.7658,0,U,27607,999,27409,.11744887E-3,.849E-5,0
LATINSAT A,2002-058H,2026-08-21T02:52:28.133184,14.85568512,.0049336,64.5541,119.9718,238.1279,121.5023,0,U,27612,999,27727,.77314474E-4,.528E-5,0
NIMIQ 2,2002-062A,2026-08-21T10:28:38.695008,1.00273804,.00054073,9.5918,56.1868,90.8704,230.6975,0,U,27632,999,4483,0,-.74E-6,0
CORIOLIS,2003-001A,2026-08-21T07:21:19.294848,14.19960434,.00145892,98.7158,239.2048,29.8238,330.3767,0,U,27640,999,22346,.61422074E-4,.87E-6,0
SORCE,2003-004A,2026-08-21T11:37:07.877280,15.04000962,.00170177,39.9901,249.0439,164.5212,195.6105,0,U,27651,999,28173,.15437804E-3,.2024E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-08-20T22:28:29.875296,2.00557151,.01493377,54.8737,212.3973,53.3971,317.7221,0,U,27663,999,17261,0,.61E-6,0
USA 167,2003-008A,2026-08-21T00:43:42.030912,1.00271508,.00028548,11.0868,42.8094,303.4825,231.8224,0,U,27691,999,742,0,.2E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-08-20T17:39:25.215264,1.91455012,.00058654,54.7688,322.7973,249.4680,284.0347,0,U,27704,999,17116,0,-.106E-5,0
USA 169 (MILSTAR-2 4),2003-012A,2026-08-21T05:27:23.218848,1.00272862,.00978388,12.4464,29.2969,11.3192,162.9641,0,U,27711,999,3360,0,-.2E-5,0
ASIASAT 4,2003-014A,2026-08-21T10:23:16.473984,1.00273088,.0002615,4.8653,74.8993,78.4888,119.7340,0,U,27718,999,4595,0,-.226E-5,0
HELLAS-SAT 2,2003-020A,2026-08-20T22:21:38.745216,1.00273046,.0005976,7.5105,67.0879,117.8172,109.7606,0,U,27811,999,4349,0,-.89E-6,0
THURAYA-2,2003-026A,2026-08-21T11:47:03.660576,1.00272118,.0001394,8.9380,31.6499,43.5349,115.3992,0,U,27825,999,8500,0,.122E-5,0
OPTUS C1,2003-028B,2026-08-21T09:38:10.243680,1.00271362,.00055299,7.0476,68.5965,79.1383,122.2654,0,U,27831,999,5371,0,-.156E-5,0
MOST,2003-031D,2026-08-21T11:15:06.152544,14.21333722,.00109308,98.7077,240.2907,66.8838,293.3490,0,U,27843,999,19998,.40547915E-4,.45E-6,0
CUTE-1 (CO-55),2003-031E,2026-08-21T00:22:38.114688,14.24369479,.00096004,98.6763,240.7665,5.0740,355.0535,0,U,27844,999,20090,.11764383E-3,.228E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-08-21T11:00:15.837696,14.23650107,.00098781,98.6796,240.8641,22.1520,338.0083,0,U,27848,999,20066,.1048855E-3,.195E-5,0
SCISAT 1,2003-036A,2026-08-21T10:59:08.436192,14.81513657,.00060806,73.9293,41.6482,90.9151,269.2723,0,U,27858,999,24111,.71648143E-4,.525E-5,0
COSMOS 2400,2003-037A,2026-08-21T15:04:27.568704,12.45191589,.00202467,82.4698,288.8203,271.9715,87.9047,0,U,27868,999,4568,.21559874E-3,.41E-6,0
COSMOS 2401,2003-037B,2026-08-21T13:46:41.594592,12.45504609,.00210161,82.4685,285.2041,267.1308,92.7368,0,U,27869,999,4591,.27674831E-3,.49E-6,0
USA 170,2003-040A,2026-08-21T04:50:34.249056,1.00275369,.00014354,10.6346,47.3125,87.9145,291.0960,0,U,27875,999,3365,0,.121E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-08-21T14:39:07.204320,14.73565686,.00124942,98.3492,59.8314,63.7765,27.0194,0,U,27939,999,22518,.70756848E-4,.407E-5,0
LARETS,2003-042F,2026-08-21T14:19:42.273120,14.63878046,.00120605,98.4232,37.2019,186.6074,173.4970,0,U,27944,999,22293,.16305384E-4,.35E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-08-21T11:31:38.803008,1.00270014,.00020369,1.5822,82.9636,64.4044,205.3351,0,U,27954,999,4722,0,.13E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-08-21T14:31:19.413120,14.14487120,.00063903,98.9883,257.8617,330.1930,138.2062,0,U,28054,999,17873,.33440186E-4,.19E-6,0
CHUANGXIN 1 (CX-1),2003-049B,2026-08-21T04:07:44.154912,14.48611196,.00123249,98.4987,132.6891,351.4785,8.6196,0,U,28058,999,20568,.55431003E-4,.163E-5,0
YAMAL 202,2003-053A,2026-08-21T08:55:45.687648,1.00272369,.00037289,6.5018,70.1271,89.1605,107.9146,0,U,28089,999,8335,0,-.85E-6,0
UFO 11 (USA 174),2003-057A,2026-08-21T11:55:55.310880,1.00271677,.00034428,8.9853,33.4661,135.4955,55.3191,0,U,28117,999,8310,0,-.107E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-08-19T08:44:59.012160,1.92678557,.00007317,55.0637,20.9328,308.0351,51.9665,0,U,28129,999,16568,0,-.92E-6,0
USA 176 (DSP 22),2004-004A,2026-08-21T07:55:04.313856,1.00273195,.00020924,12.1494,25.5752,311.2052,62.6120,0,U,28158,999,3359,0,-.299E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-08-21T03:18:33.736608,1.00275559,.0005022,6.2002,71.1911,86.3966,282.5599,0,U,28184,999,5299,0,.33E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-08-20T17:00:28.814112,2.00552535,.01181544,54.7790,273.0754,175.8470,182.6500,0,U,28190,999,16423,0,.5E-7,0
SHIYAN-1 (SY-1),2004-012A,2026-08-21T04:41:33.459360,15.35281910,.00065329,97.8655,315.5525,139.7362,220.4365,0,U,28220,999,22106,.42453503E-3,.14476E-3,0
INTELSAT 10-02,2004-022A,2026-08-21T08:08:47.997888,1.00272438,.00002132,0.0599,268.4870,223.9108,318.4658,0,U,28358,999,8120,0,-.13E-6,0
NAVSTAR 55 (USA 178),2004-023A,2026-08-20T16:57:51.566112,2.00560032,.01582765,54.9106,84.1053,303.7590,234.8799,0,U,28361,999,16233,0,-.39E-6,0
APRIZESAT 2,2004-025A,2026-08-21T09:52:12.788832,14.38061133,.01065771,98.1090,35.7235,53.6603,307.4366,0,U,28366,999,16101,.52123212E-4,.127E-5,0
SAUDICOMSAT 1,2004-025D,2026-08-21T11:04:55.124832,14.55513195,.00320523,98.5792,245.3619,181.3413,178.7703,0,U,28369,999,17362,.68259484E-4,.249E-5,0
SAUDICOMSAT 2,2004-025E,2026-08-21T11:22:10.724736,14.50012488,.00566845,98.6654,247.5678,62.5536,298.1406,0,U,28370,999,16956,.72634767E-4,.238E-5,0
SAUDISAT 2,2004-025F,2026-08-21T10:05:35.061216,14.56714629,.0025964,98.5551,235.1011,96.1604,264.2553,0,U,28371,999,17524,.60229176E-4,.221E-5,0
